incident_id,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
159367fb-6bee-4914-8815-84f629994473,Holiday Fire,Y,2024-05-26T05:57:51Z,2024-05-25T14:21:00Z,Kern County Fire Department,,Kern,Unknown / TBD,398.0,100.0,,,-118.2554355,34.8492868,Wildfire,https://www.fire.ca.gov/incidents/2024/5/25/holiday-fire/,,,2024-05-25,N,False,False,,,,,,,,,,0.0
39967485-2cf1-4f0e-9cf1-ccfd25f6e2bf,Ming Fire,Y,2018-01-09T10:07:00Z,2017-05-20T14:23:00Z,Kern County Fire,,Kern,"Round Mountain Road and Amaya Court, north of Lake Ming",506.0,100.0,,Kern County Fire,-118.85896,35.4605,,https://www.fire.ca.gov/incidents/2017/5/20/ming-fire/,2018-01-09T10:07:00Z,2018-01-09,2017-05-20,N,True,False,,,,,,23.8,0.0,37.0,25.9,1.3
0fc2a05e-689f-4c7c-b2b4-a987840b4f2c,Bravo Fire,Y,2018-01-09T09:58:00Z,2017-05-15T14:05:00Z,Kern County Fire,,Kern,"Hwy 178 and Mira Monte Drive, 2 miles southeast of Lake Ming",288.0,100.0,,Kern County Fire,-118.84466,35.41283,,https://www.fire.ca.gov/incidents/2017/5/15/bravo-fire/,2018-01-09T09:58:00Z,2018-01-09,2017-05-15,N,True,False,,,,,,15.4,0.0,48.0,22.1,1.8
b7ca9cee-f5e3-4d5c-afd0-19ade7b24ba9,Wind Fire,Y,2024-06-28T12:09:51Z,2024-05-20T07:45:00Z,Kern County Fire,,Kern,"West of Interstate 5, South of Laval Road, North of the Grapevine",121.0,100.0,,,-118.99692,34.96545,Wildfire,https://www.fire.ca.gov/incidents/2024/5/20/wind-fire/,2024-05-20T18:45:00Z,2024-05-20,2024-05-20,N,True,False,,,,,,,,,,0.0
9f416f37-a8ca-4127-a6b7-02626fd32e06,Feed Fire,Y,2018-01-09T09:57:00Z,2017-05-14T14:00:00Z,Kern County Fire,,Kern,"Sabastian Rd and Wheeler, southeast of Arvin ",41.0,100.0,,Kern County Fire,-118.90004,35.05076,,https://www.fire.ca.gov/incidents/2017/5/14/feed-fire/,2018-01-09T09:57:00Z,2018-01-09,2017-05-14,N,True,False,,,,,,,,,,0.0
190200af-43ff-4874-8cd0-ea681b1582ae,Cow Fire,Y,2024-05-20T10:09:55Z,2024-05-15T11:41:10Z,Sequoia National Forest,,Kern,"Highway 178 and Democrat Road, Southwest of Lake Isabella",132.0,100.0,,,-118.7503007,35.4759526,Wildfire,https://www.fire.ca.gov/incidents/2024/5/15/cow-fire/,,,2024-05-15,N,False,False,,,,,,25.8,0.0,43.0,24.7,1.2
91816ff6-d4ec-4f31-8d40-bf2538aca09b,Erskine Fire,Y,2016-07-11T09:40:00Z,2016-06-23T15:51:00Z,Bureau of Land Management,,Kern,Off Erskine Creek Rd in Lake Isabella,48019.0,100.0,,Bureau of Land Management,-118.45628,35.6115,,https://www.fire.ca.gov/incidents/2016/6/23/erskine-fire/,2016-07-11T09:40:00Z,2016-07-11,2016-06-23,N,True,False,,,,,,,,,,0.0
49dbe286-1cfe-4e03-a872-13185aae767a,Tejon Fire,Y,2019-07-25T18:59:49Z,2019-07-21T15:30:17Z,Kern County Fire Department,,Kern,"  I 5 and Diger Rd, South of Bakersfield",208.0,100.0,,,-118.9183333,34.9008333,Wildfire,https://www.fire.ca.gov/incidents/2019/7/21/tejon-fire/,,,2019-07-21,N,False,False,,,,,,,,,,0.0
29be5ab1-03bc-46ca-b01b-5de2f4916c29,Red Fire,Y,2024-06-28T11:05:57Z,2024-05-31T15:44:00Z,Kern County Fire Department,,Kern,"Redhill Road, Bodfish",98.0,100.0,,,-118.4733,35.601284,Wildfire,https://www.fire.ca.gov/incidents/2024/5/31/red-fire/,,,2024-05-31,N,False,False,,,,,,,,,,0.0
0563714f-e479-41f8-a2b0-59cfacdeffe1,Gardner Fire,Y,2024-04-15T08:32:29Z,2024-04-12T13:53:46Z,Kern County Fire Department,,Kern,East of Taft,241.0,100.0,,,-119.39529,35.153062,Wildfire,https://www.fire.ca.gov/incidents/2024/4/12/gardner-fire/,,,2024-04-12,N,False,False,,,,,,,,,,0.0
ee290ec6-3815-4c44-a96a-edb331fcc925,Vulcan Fire,Y,2019-05-08T08:48:00Z,2019-05-03T15:04:00Z,Kern County Fire,,Kern,Off Highway 166 at Wind Wolves Preserve,172.0,100.0,,Kern County Fire,-119.19454,35.03855,,https://www.fire.ca.gov/incidents/2019/5/3/vulcan-fire/,2019-05-08T08:48:00Z,2019-05-08,2019-05-03,N,True,False,,,,,,,,,,0.0
