incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Sunset Fire,Y,2024-07-29T08:57:30Z,2024-07-28T14:27:07Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Near Mattole Road, North of Petrolia",13.0,100.0,,,-124.362017,40.368506,Wildfire,c985d631-a65d-42f6-b4a3-5af4d804a21a,https://www.fire.ca.gov/incidents/2024/7/28/sunset-fire/,,,2024-07-28,N,True,False,,,,,,21.5,0.0,67.0,22.6,1.9
Sway Fire,Y,2018-01-09T12:16:00Z,2017-08-01T10:23:00Z,Six Rivers National Forest,,Humboldt,"Swayback Ridge, 5 southwest of Mad River",19.0,100.0,,Six Rivers National Forest,-123.57562,40.39799,,82689e99-9158-4403-b8c5-bababc3c81f6,https://www.fire.ca.gov/incidents/2017/8/1/sway-fire/,2018-01-09T12:16:00Z,2018-01-09,2017-08-01,N,False,False,,,,,,31.1,0.0,54.0,25.2,1.9
Mill Creek 1 Fire,Y,2019-01-04T09:17:00Z,2018-08-16T09:18:00Z,Hoopa Valley Tribe ,,Humboldt,"Hwy 96 & Mill Creek Road, northeast of the Town of Hoopa",3674.0,100.0,,Hoopa Valley Tribe ,-123.688056,41.07944,,d3ead5e1-12bb-4d27-8c1d-c723c0747265,https://www.fire.ca.gov/incidents/2018/8/16/mill-creek-1-fire/,2019-01-04T09:17:00Z,2019-01-04,2018-08-16,N,False,False,,,,,,19.0,0.0,42.0,20.2,2.0
Kimtu Fire,Y,2024-08-07T22:38:22Z,2024-08-05T15:15:26Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Kimtu Road, Garberville",14.0,100.0,,,-123.807764,40.08453,Wildfire,d4df6b62-f791-4b72-a376-ff33d5c33901,https://www.fire.ca.gov/incidents/2024/8/5/kimtu-fire/,,,2024-08-05,N,True,False,,,,,,25.4,0.0,52.0,23.3,1.9
Blue Fire,Y,2018-01-09T13:30:00Z,2017-10-08T16:40:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"off of Blue Lake Blvd and Hwy 299,  east of Eureka ",20.0,100.0,Hwy 299 shut down both directions,CAL FIRE Humboldt-Del Norte Unit,-123.96844,40.88516,,e2c1718a-40e5-4139-a379-011c77f021bd,https://www.fire.ca.gov/incidents/2017/10/8/blue-fire/,2018-01-09T13:30:00Z,2018-01-09,2017-10-08,N,True,False,,,,,,18.8,0.0,27.0,16.5,6.6
Buck Fire,Y,2015-07-31T19:00:00Z,2015-07-28T17:19:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,off Alderpoint Road & Wallan Road near Garberville ,16.0,100.0,,CAL FIRE Humboldt-Del Norte Unit,-123.774,40.1093,,0a645cbe-2d5a-4e2b-80c9-cb9167641cca,https://www.fire.ca.gov/incidents/2015/7/28/buck-fire/,2015-07-31T19:00:00Z,2015-07-31,2015-07-28,N,True,False,,,,,,28.2,0.0,28.0,22.9,3.1
Corral Complex,Y,2013-08-12T12:00:00Z,2013-08-10T11:40:00Z,Six Rivers National Forest,,Humboldt,Tish Tang Ridge east of Hoopa Valley Reservation,12503.0,100.0,,Six Rivers National Forest,-123.488,41.035,,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,https://www.fire.ca.gov/incidents/2013/8/10/corral-complex/,2013-08-12T12:00:00Z,2013-08-12,2013-08-10,N,False,False,,,,,,,,,,1.7
Boise Fire,Y,2024-09-17T18:14:31Z,2024-08-09T11:25:44Z,Six Rivers National Forest,,Humboldt,South of Orleans,12967.0,91.0,,,-123.5113,41.2522,Wildfire,b09307d2-1a45-473c-9734-9af5171a3e6d,https://www.fire.ca.gov/incidents/2024/8/9/boise-fire/,,,2024-08-09,N,False,False,,,,,,20.3,0.0,42.0,19.6,2.1
K-Rail,Y,2021-09-08T16:25:10Z,2021-08-30T13:30:00Z,Six Rivers National Forest & Hoopa BIA,,Humboldt,"Tish Tang Ridge, southeast of Hoopa",16.0,100.0,,,-123.52733,41.03877,Wildfire,af05ba27-9105-4776-83a8-8ea786117476,https://www.fire.ca.gov/incidents/2021/8/30/k-rail/,2021-09-08T16:25:07Z,2021-09-08,2021-08-30,N,False,False,,,,,,15.3,0.0,42.0,20.7,2.5
Summit Fire,Y,2016-08-19T08:30:00Z,2016-08-12T17:23:00Z,CAL FIRE Humboldt-Del Norte,,Humboldt,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,21.0,100.0,,CAL FIRE Humboldt-Del Norte,-123.77832,40.9878,,861bfbd3-ce1c-46bd-a32b-2848b7399119,https://www.fire.ca.gov/incidents/2016/8/12/summit-fire/,2016-08-19T08:30:00Z,2016-08-19,2016-08-12,N,True,False,,,,,,20.6,0.0,35.0,18.1,1.7
Miller Fire,Y,2018-01-09T12:49:00Z,2017-08-31T13:57:00Z,CAL FIRE/Humboldt-Del Norte Unit,,Humboldt,"Miller Ranch road x Bell Springs road, 10 miles NE Leggett ",34.0,100.0,,CAL FIRE/Humboldt-Del Norte Unit,-123.64214,40.03697,,62a6c794-97db-4b57-9033-958bcf2e5a99,https://www.fire.ca.gov/incidents/2017/8/31/miller-fire/,2018-01-09T12:49:00Z,2018-01-09,2017-08-31,N,True,False,,,,,,26.3,0.0,40.0,22.8,2.0
Translator Fire,Y,2018-01-09T12:46:00Z,2017-08-28T08:01:00Z,Shasta Trinity National Forest,,Humboldt,"Tish Tang Road and Hostler, Hoopa",40.0,100.0,,Shasta Trinity National Forest,-123.63721,41.02705,,18a2b3d6-d86e-4147-ab42-d45b8792e98a,https://www.fire.ca.gov/incidents/2017/8/28/translator-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-28,N,False,False,,,,,,19.2,0.0,42.0,20.3,1.6
