incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Lake Fire,Y,2013-05-18T19:00:00Z,2013-05-17T13:23:00Z,CAL FIRE/Los Angeles County ,,Los Angeles,I-5 Southbound at Lake Hughes Road,712.0,100.0,,CAL FIRE/Los Angeles County ,-118.610044,34.49149,,39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,2013-05-18T19:00:00Z,2013-05-18,2013-05-17,N,True,False,,,,,,16.4,0.0,70.0,22.0,1.5
Frenchman Fire,Y,2024-12-20T11:19:25Z,2024-11-07T12:41:00Z,Angeles National Fire Department,,Los Angeles,"West of Frenchman's Flat Day Use Area, South of Pyramid Dam",94.0,100.0,,,-118.749654,34.615371,Wildfire,18551530-3992-4731-9133-186480d092b2,https://www.fire.ca.gov/incidents/2024/11/7/frenchman-fire/,2024-11-10T06:45:09Z,2024-11-10,2024-11-07,N,False,False,,,,,,,,,,0.0
Max Fire,Y,2024-06-28T09:09:48Z,2024-06-16T15:46:34Z,Los Angeles County Fire Department,,Los Angeles,"80th Street West, Lancaster",338.0,100.0,,,-118.27108,34.67529,Wildfire,b20598f6-8122-4d4f-bb49-1d9657b48916,https://www.fire.ca.gov/incidents/2024/6/16/max-fire/,,,2024-06-16,N,False,False,,,,,,,,,,0.0
Llano Fire,Y,2024-06-28T09:29:05Z,2024-06-12T17:13:14Z,CAL FIRE San Bernardino Unit,,Los Angeles,"Highway 18 and 248th Street East, Los Angeles County",30.0,100.0,,,-117.686469,34.498542,Wildfire,1e0cde32-bc40-4d78-a9cd-052f304f1103,https://www.fire.ca.gov/incidents/2024/6/12/llano-fire/,,,2024-06-12,N,True,False,,,,,,21.7,0.0,65.0,22.7,1.8
Franklin Fire,Y,2025-01-06T16:22:51Z,2024-12-09T22:50:53Z,"Unified Command: CAL FIRE IMT 4, Los Angeles County Fire Department, and the Los Angeles County Sheriff",,Los Angeles,"Malibu Canyon Road, Malibu Creek State Park",4037.0,100.0,,"California Highway Patrol, Office of Emergency Management, Public Works, CalTrans, Animal Care and Control, American Red Cross, California State Parks, CAL FIRE, CAL OES, National Park Service, So Cal Gas, GFP Response, Southern California Edison, LA County Community Fire Brigade",-118.69642,34.06343,Wildfire,54e9ee49-0c28-4477-8c29-b46738b07b78,https://www.fire.ca.gov/incidents/2024/12/9/franklin-fire/,2024-12-18T20:59:13Z,2024-12-18,2024-12-09,N,True,False,,,,,,,,,,0.0
Pine Fire,Y,2021-05-21T12:24:23Z,2021-05-12T22:46:39Z,Los Angeles County Fire Department,,Los Angeles,"Hwy 138 and 248th St, Pinion Hills",442.0,100.0,,Los Angeles County Fire Department,-117.663815,34.454231,Wildfire,3bd5d90f-8131-48a0-a02f-1677e5394ce1,https://www.fire.ca.gov/incidents/2021/5/12/pine-fire/,2021-05-20T12:23:55Z,2021-05-20,2021-05-12,N,False,False,,,,,,18.7,0.0,69.0,20.3,2.0
Palisades Fire,N,2025-02-10T17:33:39Z,2025-01-07T10:30:00Z,Los Angeles City Fire Department,,Los Angeles,"Southeast of Palisades Drive, Pacific Palisades",23707.0,100.0,,"City of Los Angeles, Los Angeles Department of Water & Power, Los Angeles Department of Transportation, Los Angeles City Emergency Management Department, Los Angeles County Office of Emergency Managment, Los Angeles County Department of Animal Control, Los Angeles Community Brigade, Los Angeles County Department of Public Works, Los Angeles County Department of Public Health, City of Malibu, California State Parks, Los Virgenes Municipal Water District, Southern California Edison, Pepperdine University, California Highway Patrol, American Red Cross, National Park Service, Gabrieleno Band of Mission Indians-Kizh-Nation.",-118.54453,34.07022,Wildfire,abfed7a3-794a-4294-9852-43176dcbc18a,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/,,,2025-01-07,Y,True,False,,,,,,,,,,0.0
Eaton Fire,Y,2025-02-07T13:59:24Z,2025-01-07T18:18:00Z,Los Angeles County Fire Department,,Los Angeles,"Near Altadena Drive and Midwick Drive, Altadena/Pasadena",14021.0,100.0,,", LA County Mental Health, LA County Dept. Public Works, Pasadena Water and Power, LA County Medical Examiner, LA County Public Health, Southern California Edison, Sierra Madre Fire Department, Gabrieleno Band of Mission Indians - Kizh Nation, Arcadia Fire Department, Southern California Gas, California National Guard",-118.069155,34.203483,Wildfire,dbfa574e-1b10-4467-b5e5-7d1c06ebc8dc,https://www.fire.ca.gov/incidents/2025/1/7/eaton-fire/,,,2025-01-07,Y,True,False,,,,,,13.9,0.1,38.0,11.5,6.0
Hurst Fire,Y,2025-01-16T21:51:53Z,2025-01-07T22:29:30Z,"Los Angeles City Fire Department, United States Forest Service, Los Angeles Fire Department, Los Angles County Sheriff",,Los Angeles,"Near Diamond Road, Sylmar",799.0,100.0,,,-118.478134,34.32533,Wildfire,ed36cf94-75d8-43f6-913a-d15646907311,https://www.fire.ca.gov/incidents/2025/1/7/hurst-fire/,2025-01-16T00:00:00Z,2025-01-16,2025-01-07,N,False,False,,,,,,,,,,0.0
Burbank Fire ,Y,2024-08-04T23:08:36Z,2024-08-03T17:11:53Z,Los Angeles Fire Department ,,Los Angeles,"Burbank Boulevard and Woodley Avenue, Encino",75.0,100.0,,,-118.475521,34.172602,Wildfire,59e1a0fb-d5df-4c79-b35e-ff9bb3823b16,https://www.fire.ca.gov/incidents/2024/8/3/burbank-fire/,2024-08-04T23:08:34Z,2024-08-04,2024-08-03,N,False,False,,,,,,,,,,0.0
Woodley Fire,Y,2025-01-08T20:35:53Z,2025-01-08T06:15:27Z,Los Angeles City Fire Department,,Los Angeles,"North Woodley Avenue, Sepulveda Basin",30.0,100.0,,,-118.47438,34.17973,Wildfire,c2159108-ab33-4b74-8ef1-3706df7aecda,https://www.fire.ca.gov/incidents/2025/1/8/woodley-fire/,,,2025-01-08,N,False,False,,,,,,,,,,0.0
