,latitude,longitude,FBFM_VALUE
241,2187570.0,-2347890.0,-9999
242,1513260.0,-2128080.0,-9999
243,1537830.0,-2175450.0,-9999
244,2171460.0,-2347170.0,-9999
245,2204280.0,-2338800.0,-9999
246,1512840.0,-2140560.0,-9999
247,2191800.0,-2337120.0,-9999
248,2204820.0,-2346120.0,-9999
249,1497000.0,-2117130.0,-9999
250,1534110.0,-2171790.0,-9999
251,1520790.0,-2136900.0,-9999
252,2152620.0,-2348220.0,-9999
253,1520160.0,-2144430.0,-9999
254,2193600.0,-2347170.0,-9999
255,1509720.0,-2129130.0,-9999
256,1517880.0,-2132580.0,-9999
257,2184090.0,-2345130.0,-9999
258,2202870.0,-2346960.0,-9999
259,2184660.0,-2344230.0,-9999
260,2209440.0,-2344500.0,-9999
261,2211720.0,-2345970.0,-9999
262,1510770.0,-2121510.0,-9999
263,2219340.0,-2345610.0,-9999
264,2209740.0,-2335560.0,-9999
265,2185710.0,-2344710.0,-9999
266,1506060.0,-2125530.0,-9999
267,1503960.0,-2118630.0,-9999
268,2210160.0,-2345850.0,-9999
269,1515210.0,-2125500.0,-9999
270,2206140.0,-2344890.0,-9999
271,2134410.0,-2347950.0,-9999
272,2218320.0,-2342250.0,-9999
273,2226000.0,-2341440.0,-9999
274,1520460.0,-2150730.0,-9999
275,1533780.0,-2172090.0,-9999
276,2164740.0,-2347890.0,-9999
277,2178960.0,-2341740.0,-9999
278,2223570.0,-2340660.0,-9999
279,2187300.0,-2343390.0,-9999
280,1504020.0,-2122800.0,-9999
281,2193660.0,-2340420.0,-9999
282,1515990.0,-2128620.0,-9999
283,2199030.0,-2338080.0,-9999
284,2179410.0,-2344530.0,-9999
285,1522530.0,-2135970.0,-9999
286,1513830.0,-2128260.0,-9999
287,1495650.0,-2111850.0,-9999
288,2204550.0,-2346900.0,-9999
289,1514520.0,-2132430.0,-9999
290,2188920.0,-2337030.0,-9999
291,2198970.0,-2347290.0,-9999
292,2174040.0,-2345370.0,-9999
293,2165700.0,-2347650.0,-9999
294,1519560.0,-2133540.0,-9999
295,2197800.0,-2341680.0,-9999
296,2200890.0,-2338950.0,-9999
297,2022690.0,-2263680.0,12
298,1525410.0,-2154210.0,-9999
299,2222190.0,-2342190.0,-9999
300,2188890.0,-2337120.0,-9999
301,1519260.0,-2139240.0,-9999
302,2214210.0,-2342550.0,-9999
303,1505040.0,-2122710.0,-9999
304,1519110.0,-2143890.0,-9999
305,1499400.0,-2114220.0,-9999
306,1517250.0,-2134650.0,-9999
307,2211840.0,-2347830.0,-9999
308,2218740.0,-2348220.0,-9999
309,2214090.0,-2342730.0,-9999
310,2199810.0,-2346210.0,-9999
311,2177610.0,-2348160.0,-9999
